recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D49	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
ad689a29574a09c604cd36cf41732e13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	116	0	89	0	0	120	0	0	198	113	45	65	79	0	52	79	43	47	65	0	61	88	54	70	48	60	113	90
3128e057b1d4f320961e4da677724613	20	27	73	22	59	13	13	47	13	40	72	42	24	26	25	17	28	20	58	50	49	9	11	0	25	14	26	46	25	52	72	13	33	33	76	40	30	103	29	76	0	0	0	0	0	0	0	0
993ea35e8ad7ff6894e32247dc507e9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	28	0	57	0	0	0	13	0	152	0	21	65	196	23	132	50	83	94	39	0	18	60	22	24	51	155	73	76
a167e4d4418792dcaba877443ed0e66d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	83	0	12	0	0	114	97	0	27	154	56	20	30	7	5	139	18	16	10	0	95	137	118	7	11	13	12	13
cae14798faeabb8e1b8840e712839921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	83	0	83	0	28	0	0	47	28	18	62	30	35	75	40	29	125	47	80	37	24	0	38	15	44	12	73	93	20	44
0189d0173c07f11e7586ff20eb33f5ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	42	0	64	0	0	38	13	0	58	35	35	148	48	12	125	61	19	120	30	0	51	26	10	13	16	74	39	82
ff88a3ff3ed651f80384b3440acb21d5	0	0	14	187	96	2	276	4	4	87	71	0	104	0	6	35	120	9	0	71	0	19	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71eefb0527438cc9f3a3e91dccd3caa8	0	57	58	65	56	15	52	29	66	69	81	0	53	47	88	71	117	0	0	0	0	48	0	0	96	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54f7ee881a58ad84fe3f81d76968b072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	147	30	0	76	10	0	19	126	57	12	13	9	37	0	0	24	15	163	6	192	56	14	0
ed5952d1e022067b212146b9b3bc6812	19	0	13	107	23	9	58	0	6	44	18	252	32	15	61	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0
370829fece3190f1a8efccf50b7d0921	27	39	0	27	57	0	25	10	6	40	75	74	104	0	0	0	0	13	0	0	15	0	30	0	0	70	0	0	30	39	24	31	36	24	28	15	0	28	0	43	44	12	12	0	17	0	20	28
f8f3e605678a490b72cab74f3fc2c52b	19	58	53	19	31	45	23	41	29	51	106	41	67	10	13	99	103	46	0	34	0	13	0	0	47	0	0	66	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
48d9883fd871b82d9bbc89cb0447be8c	7	8	8	33	62	91	9	16	12	0	27	10	54	93	105	11	86	49	0	117	0	34	13	0	65	0	0	82	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ad52a0f6646c574417ce0b13b84acfa9	4	0	43	132	144	39	60	70	18	57	19	84	47	55	16	65	9	6	0	12	0	6	0	0	23	0	0	8	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0
dafe809740d0545dc25c6939a84a1820	0	0	5	0	5	39	9	16	9	21	5	0	20	22	25	10	15	5	17	18	18	0	34	0	23	22	12	14	32	16	25	102	26	17	67	28	29	85	16	0	40	12	12	18	16	26	21	10
eea6b86c0c75e740670ccc50613b1b23	30	72	0	0	60	16	38	0	0	75	211	58	16	0	11	120	30	63	0	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0
